Metric,Mode,N,Mean,SD,Min,Median,Max
Annual Passenger Trips,DRT (DR),2163,36399.17013407304,49802.63495036903,4.0,18857.0,605390.0
Annual Passenger Trips,Fixed-Route (MB),2103,139498.57489301,308262.6989700518,8.0,36373.0,2967737.0
Vehicle Revenue Hours,DRT (DR),2163,17172.555247341654,24446.333458314562,1.0,8955.0,341250.0
Vehicle Revenue Hours,Fixed-Route (MB),2103,14635.077508321445,16522.668334177735,40.0,9303.0,204456.0
Vehicle Revenue Miles,DRT (DR),2163,278528.9759593158,451331.66118858353,4.0,120923.0,5767481.0
Vehicle Revenue Miles,Fixed-Route (MB),2103,244109.2253922967,286092.13179719594,285.0,154019.0,2423047.0
Operating Expenses ($),DRT (DR),2163,1079347.2898751735,1420660.5015683735,0.0,590577.0,11948104.0
Operating Expenses ($),Fixed-Route (MB),2103,1320607.0727532096,1992941.8565055078,0.0,626992.0,17214558.0
Average Cost per Trip ($/UPT),DRT (DR),2163,38.89319753600676,32.529166340308635,0.0,31.03670067180891,569.9030303030303
Average Cost per Trip ($/UPT),Fixed-Route (MB),2103,27.774170584296513,139.81861236553027,0.0,15.35919482232,6108.0
Cost per Revenue Hour ($/VRH),DRT (DR),2163,75.21516906863059,63.22720007260086,0.0,62.82429403854773,1567.2333333333331
Cost per Revenue Hour ($/VRH),Fixed-Route (MB),2103,78.9313784974402,50.45010177922642,0.0,69.03316645807259,1049.1648878240037
Cost per Revenue Mile ($/VRM),DRT (DR),2163,5.964902656930256,5.852771089808211,0.0,4.49214321883014,99.29672650475185
Cost per Revenue Mile ($/VRM),Fixed-Route (MB),2103,4.995645632137646,3.3593105794272584,0.0,4.376835933768108,66.0635838150289
Productivity (Trips/VRH),DRT (DR),2163,2.471480901360446,1.9319738464987324,0.2287777386403663,2.06064372628549,26.41018766756032
Productivity (Trips/VRH),Fixed-Route (MB),2103,6.322477009415082,6.473290391689862,0.0192307692307692,4.3235867446393765,65.23215737993186
Subsidy per Trip ($),DRT (DR),2116,36.085180466644516,32.3854154960128,-7.394771640728308,28.046018895976363,561.4666666666667
Subsidy per Trip ($),Fixed-Route (MB),2056,26.811171594837692,141.1282649757397,-0.993294884418812,14.371730834414485,6101.5
Farebox Recovery Ratio,DRT (DR),2115,0.08432143748014985,0.14617715034959947,0.0,0.0383950429454641,1.2482198754772795
Farebox Recovery Ratio,Fixed-Route (MB),2055,0.06266841800336297,0.08009186914898925,0.0,0.0390129062092739,1.0
